feature,family,hypothesis,horizon,n,q1_mean,q1_hac_t,q5_mean,q5_hac_t,q5_minus_q1_mean,spearman_rho_10d,etf_agreement_count,robustness_score
top10_concentration,Concentration,H5,20,360,0.012534991763085547,2.789169627549017,-0.02110242700516852,-1.2446376302743891,-0.03363741876825407,-0.17214951514859733,1,26
top25_premium_hhi,Concentration,H5,1,360,-0.0015976567287797538,-1.1174889139953303,0.0009695331348961368,0.49480389626903354,0.0025671898636758905,-0.025553210519856432,3,8
top25_premium_hhi,Concentration,H5,3,360,-0.002592264742020234,-1.0719602421163914,-0.0012097448806688642,-0.32242207291127584,0.0013825198613513696,-0.025553210519856432,3,8
top25_premium_hhi,Concentration,H5,5,360,-0.00037422279553794765,-0.11703526783016555,-0.0019393069413206605,-0.40342683722359113,-0.001565084145782713,-0.025553210519856432,3,8
top25_premium_hhi,Concentration,H5,10,360,0.0015465408866752123,0.35450438391552275,-0.001141823204224408,-0.1508320785524568,-0.0026883640908996202,-0.025553210519856432,3,8
top25_premium_hhi,Concentration,H5,20,360,0.00704767064437779,0.7701630700128588,0.0010505711050695643,0.06268077275668571,-0.005997099539308225,-0.025553210519856432,3,8
z_sentiment_20d,Baseline-relative (z-score),H6,1,300,0.0003409133983094559,0.23382691961796792,-0.001318441424481585,-0.6830231055774858,-0.0016593548227910408,0.0337484720354369,5,5
z_sentiment_20d,Baseline-relative (z-score),H6,3,300,0.0013195042301613407,0.30582318518332274,-0.000786709896037352,-0.265865031557403,-0.0021062141261986925,0.0337484720354369,5,5
z_sentiment_20d,Baseline-relative (z-score),H6,5,300,0.002522464805760218,0.6076215766471948,-0.0002917964293244654,-0.08783948075992551,-0.0028142612350846832,0.0337484720354369,5,5
z_sentiment_20d,Baseline-relative (z-score),H6,10,300,-0.0020407017469584047,-0.33269270003251566,-0.0028356358445728847,-0.5713247361032523,-0.00079493409761448,0.0337484720354369,5,5
z_sentiment_20d,Baseline-relative (z-score),H6,20,300,-0.006077552246622746,-1.6762220710581852,0.008632848466948263,1.0696335092501577,0.01471040071357101,0.0337484720354369,5,5
z_delta_imbalance_20d,Baseline-relative (z-score),H6,1,300,-0.0006926066962015031,-0.4548660940785682,0.0010058292540384816,0.42456308521789055,0.0016984359502399847,0.048543874423133564,5,10
z_delta_imbalance_20d,Baseline-relative (z-score),H6,3,300,-0.0017387114112690774,-0.5979760702308973,0.0010172012189474916,0.2896800753045928,0.002755912630216569,0.048543874423133564,5,10
z_delta_imbalance_20d,Baseline-relative (z-score),H6,5,300,-0.0007782530100258191,-0.2286420664910399,0.002637050567802584,0.7413729084974622,0.0034153035778284034,0.048543874423133564,5,10
