feature,scope,ticker,horizon,q1_n,q1_mean,q1_hac_t,q5_n,q5_mean,q5_hac_t,q5_minus_q1_mean
net_trade_sentiment,per_etf,SMH,5,11,0.017368180439154193,1.3130659499183612,12,-0.015621636126006847,-1.3381899347799615,-0.03298981656516104
net_trade_sentiment,per_etf,SMH,10,9,-0.017626855655183255,-1.7226702522124688,12,-0.014989337869061944,-0.771057261800761,0.002637517786121311
net_trade_sentiment,per_etf,SMH,20,9,-0.020314873771903774,-3.634508218377612,9,-0.006560190710291865,-1.029844243961412,0.01375468306161191
net_trade_sentiment,per_etf,TLT,1,12,-0.0006726407543945212,-0.28739551357874116,12,-0.0038099640958321004,-2.1927660759710443,-0.003137323341437579
net_trade_sentiment,per_etf,TLT,3,11,-0.0022985594565368872,-0.699886478206865,12,-6.613884018870826e-05,-0.038958059294346814,0.002232420616348179
net_trade_sentiment,per_etf,TLT,5,10,-0.0023319427207978195,-0.4290912891405116,11,-0.0016560292536917224,-0.7497824584038361,0.0006759134671060971
net_trade_sentiment,per_etf,TLT,10,10,-0.008614919007601297,-2.0709530476742533,9,-0.0070884006552412015,-6.3997862219403165,0.0015265183523600952
net_trade_sentiment,per_etf,TLT,20,9,-0.009681130089203694,-3.5729605352200235,7,-0.005210551703978407,-4.268516867839765,0.004470578385225288
net_trade_sentiment,per_etf,GLD,1,12,0.005210645501097057,1.7902451597543922,12,-0.0029862240342266866,-0.8314992774273957,-0.008196869535323743
net_trade_sentiment,per_etf,GLD,3,12,0.006072483181014239,2.6049621277872435,12,0.0007858048689913985,0.08019947611774157,-0.005286678312022841
net_trade_sentiment,per_etf,GLD,5,11,0.008151890961111706,3.204995396646477,12,0.0060413259491331655,0.4037542534807012,-0.0021105650119785406
net_trade_sentiment,per_etf,GLD,10,8,0.018411287169450355,1.8188464803252078,11,0.011005690234737874,0.9118567880645296,-0.007405596934712481
net_trade_sentiment,per_etf,GLD,20,7,0.025698475183822716,6.65875314645119,7,0.03890425546343247,3.2017438113948518,0.013205780279609756
delta_imbalance_ratio,pooled,ALL,1,72,-0.002088447151877988,-1.1150325883519376,72,0.0011593574929174367,0.5371500573921915,0.0032478046447954245
delta_imbalance_ratio,pooled,ALL,3,71,-0.0037214305881514763,-0.863095706839386,71,0.0007903128741825084,0.18848059555033628,0.004511743462333985
delta_imbalance_ratio,pooled,ALL,5,67,-0.0029061966400845147,-0.5459092221487146,68,0.0006892125563781652,0.09940849072203375,0.00359540919646268
